index,PRODUCT GROUP,CountVectorizer,TfidfVectorizer,
DIPS/DRESSINGS/SAUCES - FROZEN,722,68.9%,60.2%,
SPECIALIST COMBINATION PACKS - AMBIENT,720,0.0%,0.0%,
HERBAL/BOTANICAL REMEDIES/TREATMENTS,683,94.2%,94.9%,Mejoró
POTATO - FROZEN,638,90.6%,93.8%,Mejoró
RICE - FRESH FIXED WEIGHT,587,88.5%,90.6%,Mejoró
FISH/SHELLFISH/SEAFOOD - AMBIENT,569,95.6%,96.9%,Mejoró
DESSERT SAUCES - AMBIENT,391,94.1%,98.1%,Mejoró
HOUSEHOLD POLISHES - FREQUENT USE,387,93.8%,91.7%,
KITCHENWARE - NON DISPOSABLE,336,93.7%,94.3%,Mejoró
PASTA - FROZEN,286,5.7%,0.0%,
NOODLES - ORIENTAL STYLE - AMBIENT,270,88.8%,88.2%,
MEAT/POULTRY/GAME - AMBIENT,262,88.1%,88.9%,Mejoró
BAKING/COOKING AIDS - AMBIENT,234,98.4%,98.8%,Mejoró
BREAD - FRESH FIXED WEIGHT,166,80.3%,83.1%,Mejoró
BANDED PACKS,146,83.7%,87.1%,Mejoró
CHOCOLATE NOVELTIES,139,5.4%,0.0%,
NOT DETERMINED,87,67.6%,54.8%,
FISH/SHELLFISH/SEAFOOD - FROZEN,4,0.0%,0.0%,
COSMETIC REMOVAL,2,0.0%,0.0%,
COSMETIC COMBINATION PACKS AND GIFT SETS,1,100.0%,100.0%,
